TS = 2548974, TJ = 932988
TS = 30515660, TJ = 28820898
TS = 2717943, TJ = 926593
TS = 2428218, TJ = 873086
TS = 2762812, TJ = 934769
TS = 2736643, TJ = 901880
TS = 30152761, TJ = 28286851
TS = 2616868, TJ = 895619
TS = 2612606, TJ = 907048
TS = 2398583, TJ = 828747
TS = 30224469, TJ = 28544203
TS = 2496739, TJ = 816489
TS = 2443200, TJ = 876508
TS = 2504321, TJ = 870977
TS = 2642791, TJ = 976461
TS = 29176671, TJ = 27625708
TS = 2480517, TJ = 878846
TS = 3597815, TJ = 816698
TS = 4862764, TJ = 930284
TS = 2664084, TJ = 906634
TS = 2315644, TJ = 833195
TS = 2241934, TJ = 807899
TS = 2142358, TJ = 781901
TS = 2118108, TJ = 743097
TS = 2265743, TJ = 916784
TS = 33805698, TJ = 32464486
TS = 30689883, TJ = 28878132
TS = 2550564, TJ = 850938
TS = 534631311, TJ = 26301187
TS = 2747011, TJ = 952423
TS = 41040581, TJ = 37782854
TS = 2739813, TJ = 965208
TS = 2492018, TJ = 845337
TS = 5787699, TJ = 992553
TS = 2386176, TJ = 808714
TS = 6230277, TJ = 991246
TS = 2993445, TJ = 933587
TS = 31311436, TJ = 29494690
TS = 2605929, TJ = 890289
TS = 7459996, TJ = 829206
TS = 2397329, TJ = 838490
TS = 2569533, TJ = 860688
TS = 2520806, TJ = 897507
TS = 2441076, TJ = 855135
TS = 29867207, TJ = 28347674
TS = 2680724, TJ = 850496
TS = 29504178, TJ = 27744787
TS = 2643709, TJ = 878045
TS = 2614404, TJ = 827713
TS = 2554489, TJ = 902920
TS = 2508686, TJ = 906160
TS = 2370318, TJ = 823105
TS = 2196677, TJ = 802367
TS = 2604677, TJ = 860946
TS = 2653859, TJ = 896395
TS = 29086181, TJ = 27297142
TS = 2425315, TJ = 817036
TS = 5401902, TJ = 829427
TS = 105957574, TJ = 26751640
TS = 27361420, TJ = 3111495
TS = 29123860, TJ = 27505502
TS = 28526888, TJ = 26874764
TS = 104122787, TJ = 26258186
TS = 29511979, TJ = 27802561
TS = 29441327, TJ = 27808903
TS = 2409681, TJ = 871670
TS = 2085061, TJ = 787764
TS = 2102115, TJ = 821942
TS = 54938420, TJ = 27167054
TS = 2535904, TJ = 905796
TS = 28563429, TJ = 27179373
TS = 2359814, TJ = 810190
TS = 28330781, TJ = 26904284
TS = 27905133, TJ = 26384279
TS = 2273070, TJ = 842355
TS = 103252040, TJ = 26056875
TS = 2751739, TJ = 1009528
TS = 2180442, TJ = 792233
TS = 2261957, TJ = 873094
TS = 2166095, TJ = 803545
TS = 2300177, TJ = 956558
TS = 2087216, TJ = 756108
TS = 2364419, TJ = 893882
TS = 6394681, TJ = 4706090
TS = 2354857, TJ = 833844
TS = 2628702, TJ = 873315
TS = 2505019, TJ = 874738
TS = 2208118, TJ = 750450
TS = 29210367, TJ = 27461580
TS = 2487659, TJ = 820475
TS = 2176969, TJ = 872265
TS = 2091152, TJ = 746752
TS = 2249229, TJ = 874482
TS = 3426976, TJ = 2090706
TS = 28576566, TJ = 27257205
TS = 2533238, TJ = 867129
TS = 2328839, TJ = 819206
TS = 2473472, TJ = 855192
TS = 2287996, TJ = 855671
TS = 2593007, TJ = 903965
TS = 2279220, TJ = 817633
TS = 2258851, TJ = 812263
TS = 3796604, TJ = 2455857
TS = 29321996, TJ = 27821970
TS = 2092260, TJ = 754895
TS = 1937070, TJ = 702936
TS = 2450240, TJ = 806814
TS = 2020424, TJ = 714262
TS = 2076905, TJ = 775547
TS = 2072933, TJ = 851183
TS = 2136273, TJ = 789999
TS = 1936792, TJ = 725715
TS = 2158965, TJ = 781152
TS = 2431809, TJ = 875612
TS = 29012227, TJ = 27525752
TS = 27985968, TJ = 26472611
TS = 2361238, TJ = 815916
