TS = 4723268, TJ = 2760263
TS = 11331648, TJ = 733323
TS = 12491812, TJ = 7470499
TS = 14013880, TJ = 1664868
TS = 13781927, TJ = 2220112
TS = 15128656, TJ = 5341188
TS = 1970867, TJ = 1926485
TS = 2691530, TJ = 2648406
TS = 3962915, TJ = 301103
TS = 3822479, TJ = 3676868
TS = 12030913, TJ = 871270
TS = 12140296, TJ = 3513697
TS = 13564848, TJ = 938919
TS = 14614363, TJ = 1674523
TS = 15570635, TJ = 1478948
TS = 13771520, TJ = 1781210
TS = 17248954, TJ = 2508843
TS = 6045262, TJ = 2212196
TS = 7104698, TJ = 1668093
TS = 2249090, TJ = 1917271
TS = 6738676, TJ = 4114968
TS = 6833335, TJ = 1524456
TS = 1767283, TJ = 1722569
TS = 169049730, TJ = 1534904
TS = 169601927, TJ = 1308459
TS = 172944026, TJ = 3618644
TS = 172062735, TJ = 7270804
TS = 166800892, TJ = 328010
TS = 24728131, TJ = 9938733
TS = 5531208, TJ = 2105174
TS = 5921310, TJ = 3680690
TS = 6574022, TJ = 1227572
TS = 3319642, TJ = 294076
TS = 3811683, TJ = 3326143
TS = 51128971, TJ = 25542564
TS = 52661090, TJ = 21013047
TS = 7370416, TJ = 311126
TS = 7251332, TJ = 2184133
TS = 8389557, TJ = 5114211
TS = 7875809, TJ = 1097359
TS = 5529043, TJ = 502581
TS = 5106329, TJ = 2010683
TS = 3939461, TJ = 3250096
TS = 4845942, TJ = 554356
TS = 5336174, TJ = 1512822
TS = 3432098, TJ = 285505
TS = 3422299, TJ = 3220632
TS = 3117662, TJ = 300402
TS = 3691409, TJ = 3190647
TS = 10549162, TJ = 1434814
TS = 9059277, TJ = 1617243
TS = 16781628, TJ = 3254049
TS = 13537558, TJ = 803638
TS = 16781074, TJ = 1457996
TS = 16367845, TJ = 2069192
TS = 15236342, TJ = 283839
TS = 16940910, TJ = 13006331
TS = 2251301, TJ = 2206668
TS = 16839339, TJ = 930238
TS = 17045457, TJ = 10391974
TS = 54162833, TJ = 25135216
TS = 4498373, TJ = 281628
TS = 6249630, TJ = 3129356
TS = 90281215, TJ = 12748595
TS = 5523349, TJ = 1554102
TS = 6962001, TJ = 4744758
TS = 1881855, TJ = 1827133
TS = 3202330, TJ = 2106591
TS = 3742386, TJ = 1424271
TS = 4044252, TJ = 2147945
